Motor Name,Index,D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
Turnigy SK 3530-1400,897,8,4,138,10620,7.2961476,17.971008,0,0,0
Torque 26T-1135,898,8,4,139,10380,6.71755525,17.568672,0,0,0
AXI 2808/20,899,8,4,142,10380,6.668522,17.568672,0,0,0
Exceed Helium 2220-3700,900,8,4,143,10410,6.9627215,17.613376,0,0,0
Exceed Rocket 2215-3400,901,8,4,143,10560,7.1980811,17.8816,0,0,0
Justgofly 550XT 6-magnet,902,8,4,147,10500,7.256921,17.792192,0,0,0
Komodo KH2407-12,903,8,4,149,10290,6.63910205,17.43456,0,0,0
Komodo KH2407-12,904,8,4,154,10530,6.89407495,17.836896,0,0,0
Exceed Optima 2220-2700,905,8,4,157,10890,7.7864801,18.418048,0,0,0
E-power GC GT2210-1780,906,8,4,161,10440,7.0019481,17.65808,0,0,0
Motrolfly 2210-1400,907,8,4,162,10890,7.89435325,18.418048,0,0,0
Justgofly 450T2,908,8,4,163,10920,7.8060934,18.507456,0,0,0
LightFlightRC 28-37-2 Black,909,8,4,166,10860,7.7472535,18.373344,0,0,0
Exceed Rocket 3010-1820,910,8,4,169,11100,7.84532,18.77568,0,0,0
Suppo A2212-10,911,8,4,171,11040,8.1591328,18.686272,0,0,0
Turnigy SK 3530-1400,912,8,4,171,11520,8.7083052,19.490944,0,0,0
AXI 2808/20,913,8,4,176,11070,7.7472535,18.730976,0,0,0
Medusa 28-32-1500,914,8,4,178,10710,7.4726673,18.149824,0,0,0
MP Jet 26/45-20D,915,8,4,179,11130,8.07087295,18.865088,0,0,0
LightFlightRC 28-37-2 Silver #1,916,8,4,180,11130,8.28661925,18.865088,0,0,0
Justgofly 550XT 6-magnet,917,8,4,184,11100,8.2768126,18.77568,0,0,0
Exceed Helium 2220-3700,918,8,4,188,11430,8.44352565,19.356832,0,0,0
Rimfire 35-30-1250,919,8,4,194,11580,8.87501825,19.625056,0,0,0
AXI 2808/20,920,8,4,197,11460,8.30623255,19.401536,0,0,0
E-power GC GT2210-1780,921,8,4,200,10950,7.8649333,18.55216,0,0,0
Justgofly 450T2,922,8,4,207,11610,8.7475318,19.66976,0,0,0
