D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
7,5,35,7530,2.42224255,15.914624,0,0,0
7,5,36,7410,2.4124359,15.691104,31,1210,0
7,5,36,7530,2.42224255,15.959328,0,0,0
7,5,36,7590,2.22610955,16.048736,0,0,0
7,5,37,6720,1.9417167,14.215872,25,1400,6
7,5,37,7710,2.3143694,16.31696,0,0,0
7,5,38,7230,2.2555295,15.288768,0,0,0
7,5,38,7560,2.4516625,16.004032,0,0,0
7,5,38,7710,2.4908891,16.31696,0,0,0
7,5,39,7230,2.2163029,15.288768,0,0,0
7,5,39,7230,2.2163029,15.288768,0,0,0
7,5,39,7500,2.4320492,15.86992,0,0,0
7,5,39,7770,2.61837555,16.451072,0,0,0
7,5,40,7590,2.59876225,16.048736,0,0,0
7,5,40,7650,2.4908891,16.182848,0,0,0
7,5,40,7680,2.52030905,16.272256,0,0,0
7,5,41,7770,2.4908891,16.451072,0,0,0
7,5,41,7830,2.63798885,16.585184,0,0,0
7,5,41,7950,2.7066354,16.808704,0,0,0
7,5,41,7950,2.7066354,16.808704,0,0,0
7,5,41,8040,2.75566865,17.032224,0,0,0
7,5,42,7500,2.42224255,15.86992,0,0,0
7,5,42,7560,2.5301157,16.004032,0,0,0
7,5,42,7770,2.57914895,16.451072,0,0,0
7,5,42,7770,2.57914895,16.451072,0,0,0
7,5,42,7890,2.65760215,16.719296,0,0,0
7,5,42,7980,2.71644205,16.898112,0,0,0
7,5,42,7980,2.71644205,16.898112,0,0,0
7,5,42,8130,2.8047019,17.21104,0,0,0
7,5,43,8010,2.8243152,16.942816,0,0,0
7,5,44,7530,2.5693423,15.914624,0,0,0
7,5,44,7800,2.65760215,16.495776,0,0,0
7,5,44,8010,2.7066354,16.942816,0,0,0
7,5,44,8220,2.71644205,17.389856,0,0,0
7,5,45,7530,2.4124359,15.914624,0,0,0
7,5,45,7530,2.4124359,15.914624,0,0,0
7,5,45,7740,2.52030905,16.361664,0,0,0
7,5,45,8160,2.6085689,17.255744,0,0,0
7,5,46,7920,2.7262487,16.764,0,0,0
7,5,46,7920,2.7262487,16.764,0,0,0
7,5,46,8310,2.7262487,17.613376,0,0,0
7,5,46,8370,2.83412185,17.702784,0,0,0
7,5,47,7170,2.24572285,15.19936,25,1400,6
7,5,48,8070,2.9027684,17.076928,31,1210,0
7,5,48,8280,2.941995,17.523968,0,0,0
7,5,48,8280,3.0204482,17.523968,0,0,0
7,5,48,8370,2.7850886,17.702784,0,0,0
7,5,48,8370,3.04986815,17.702784,0,0,0
7,5,48,8370,3.04986815,17.702784,0,0,0
7,5,49,8370,2.97141495,17.702784,0,0,0
7,5,50,7740,2.69682875,16.361664,0,0,0
7,5,50,8160,3.0400615,17.255744,0,0,0
7,5,51,8340,2.9812216,17.65808,0,0,0
7,5,51,8430,3.0792881,17.836896,34,5150,10
7,5,51,8490,3.14793465,17.971008,0,0,0
7,5,51,8490,3.14793465,17.971008,0,0,0
7,5,51,8520,2.85373515,18.015712,0,0,0
7,5,52,7830,2.6085689,16.585184,0,0,0
7,5,52,7830,2.6085689,16.585184,0,0,0
7,5,52,7920,2.71644205,16.764,0,0,0
7,5,52,8160,2.8243152,17.255744,0,0,0
7,5,52,8400,3.0596748,17.792192,0,0,0
7,5,53,8070,2.9027684,17.076928,0,0,0
7,5,53,8490,3.08909475,17.971008,0,0,0
7,5,53,8640,3.334261,18.283936,0,0,0
7,5,54,8220,2.97141495,17.389856,0,0,0
7,5,54,8370,3.0204482,17.702784,0,0,0
7,5,54,8370,3.0204482,17.702784,0,0,0
7,5,54,8490,2.99102825,17.971008,0,0,0
7,5,54,8490,3.0989014,17.971008,0,0,0
7,5,54,8490,3.10870805,17.971008,0,0,0
